Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,stage1_passthrough,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,clip_component,hash_component,lexical_hit,brand_score,credential_score,infra_score,evasion_score,total_stage1_score,hard_trigger_hit,stage1_reasons,page_has_password_field,page_has_login_form,form_action_mismatch,csc_mention_count,redirect_count,final_domain,favicon_domain,html_bytes_read,escalate_to_hashing,escalate_reason,typo_similarity,typo_min_score_used,typo_decision_reason,clip_similarity,typo_anchor,hash_anchor,clip_anchor,generic_token_only_match,direct_brand_evidence_count,clip_corroborated,signal_hit_screenshot,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt,review_reason
National Informatics Centre (NIC),accounts.mgovcloud.in,https://yourvalleyvibe.com,123456.xlsx,0.0,Low,,weak_evidence,0.5709,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://yourvalleyvibe.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,yourvalleyvibe.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://pantherspades.com,123456.xlsx,0.0,Low,,weak_evidence,0.6786,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://pantherspades.com,,,,,,,,False,4,36,0,0,40,False,body_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,1,0,pantherspades.com,pantherspades.com,16574,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://advancedmunicipalanalytics.com,123456.xlsx,0.0,Low,,weak_evidence,0.6218,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://advancedmunicipalanalytics.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,advancedmunicipalanalytics.com,img1.wsimg.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://heatherfinney.com,123456.xlsx,0.0,Low,,weak_evidence,0.6068,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://heatherfinney.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,heatherfinney.com,,358,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://jjmanizales.com,123456.xlsx,0.0,Low,,weak_evidence,0.6742,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://jjmanizales.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,jjmanizales.com,,151,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://mr9k6nt8.com,123456.xlsx,0.0,Low,,weak_evidence,0.5833,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,head_error,,https://v6p3x7.com/download?&from=mr9k6nt8.com&_ts=%3D%3DgMyUiN0ATO4EzN2QTN3cTMyITJ,,,,,,,,False,12,4,0,4,20,False,meta_brand_match|body_brand_match|auth_wording|final_domain_changed,False,False,False,1,1,v6p3x7.com,upload-us.i-j-2-k.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://marisolnegrete.com,123456.xlsx,0.0,Low,,weak_evidence,0.8095,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://marisolnegrete.com,,,,,,,,False,12,0,9,0,21,False,meta_brand_match|body_brand_match|suspicious_hosting_provider|suspicious_certificate,False,False,False,1,0,marisolnegrete.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://seengtoto.com,123456.xlsx,0.0,Low,,weak_evidence,0.5741,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://seengtoto.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|meta_brand_match|body_brand_match,False,False,False,1,0,seengtoto.com,seengtoto.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://abringenieria.com,123456.xlsx,0.0,Low,,weak_evidence,0.6816,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://abringenieria.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,abringenieria.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://ilmanualeditelemarketing.com,123456.xlsx,0.0,Low,,weak_evidence,0.6111,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.aidaeducational.com/pubblicazioni/tania-bianchi/il-manuale-di-telemarketing/index.html,,,,,,,,False,28,0,3,4,35,False,title_brand_match|body_brand_match|multi_redirect_chain|final_domain_changed,False,False,False,1,2,www.aidaeducational.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://bluishred.org,123456.xlsx,0.0,Low,,weak_evidence,0.672,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://bluishred.org,,,,,,,,False,4,12,6,0,22,False,body_brand_match|login_form|auth_wording|suspicious_hosting_provider,False,True,False,1,0,bluishred.org,bluishred.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://gingerbeerplant.net,123456.xlsx,0.0,Low,,weak_evidence,0.6735,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gingerbeerplant.net,,,,,,,,False,4,28,6,0,38,False,body_brand_match|login_form|auth_wording|form_action_mismatch|suspicious_hosting_provider,False,True,True,1,0,gingerbeerplant.net,gingerbeerplant.net,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://gez.link,123456.xlsx,0.0,Low,,weak_evidence,0.5,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gez.link/login,,,,,,,,False,4,36,0,0,40,False,favicon_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,1,1,gez.link,gez.link,5229,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://vibraemotion.com,123456.xlsx,0.0,Low,,weak_evidence,0.6627,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://vibraemotion.com,,,,,,,,False,28,0,0,6,34,False,title_brand_match|body_brand_match|js_redirect,False,False,False,1,0,vibraemotion.com,assets.zyrosite.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://pet10lps.com.br,123456.xlsx,0.0,Low,,weak_evidence,0.594,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://pet10lps.com.br,,,,,,,,False,8,0,6,10,24,False,meta_brand_match|suspicious_hosting_provider|iframe_present|image_heavy_low_text,False,False,False,1,0,pet10lps.com.br,,3055,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://farmwininternational.com,123456.xlsx,0.0,Low,,weak_evidence,0.6338,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.farmwininternational.com/,,,,,,,,False,36,0,6,0,42,False,title_brand_match|meta_brand_match|body_brand_match|suspicious_hosting_provider,False,False,False,1,1,www.farmwininternational.com,www.farmwininternational.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://gurkhapasal.com,123456.xlsx,0.0,Low,,weak_evidence,0.6169,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gurkhapasal.com/login,,,,,,,,False,4,36,6,0,46,False,favicon_brand_match|password_field|login_form|auth_wording|submit_auth_wording|multi_input_form|suspicious_hosting_provider,True,True,False,1,1,gurkhapasal.com,gurkhapasal.com,4258,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://elementchef.com,123456.xlsx,0.0,Low,,weak_evidence,0.6265,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=elementchef.com,,,,,,,,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://byahamed.com,123456.xlsx,0.0,Low,,weak_evidence,0.6111,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://byahamed.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,byahamed.com,byahamed.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://le-cilaos.com,123456.xlsx,0.0,Low,,weak_evidence,0.7778,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://le-cilaos.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,le-cilaos.com,www.lwshosting.name,17277,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://hlgdxdfwnqqug.online,123456.xlsx,0.0,Low,,weak_evidence,0.6603,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://hlgdxdfwnqqug.online,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,hlgdxdfwnqqug.online,,150,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://timberandtoast.ca,123456.xlsx,0.0,Low,,weak_evidence,0.6786,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.timberandtoast.ca/,,,,,,,,False,40,0,0,0,40,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match,False,False,False,1,1,www.timberandtoast.ca,images.squarespace-cdn.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
All India Institute of Medical Sciences (AIIMS),aiimsexams.ac.in,https://mccmsys.com,123456.xlsx,0.0,Low,,weak_evidence,0.5762,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://mccmsys.com,,,,,,,,False,0,36,0,0,36,False,password_field|login_form|auth_wording|submit_auth_wording|multi_input_form,True,True,False,0,0,mccmsys.com,mccmsys.com,5407,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://batmonic.com,123456.xlsx,0.0,Low,,weak_evidence,0.7083,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://batmonic.com,,,,,,,,False,36,0,0,4,40,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|iframe_present,False,False,False,1,0,batmonic.com,,11269,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://fionglam.com,123456.xlsx,0.0,Low,,weak_evidence,0.7083,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://fionglam.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,fionglam.com,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://neasdenelectronics.co.uk,123456.xlsx,0.0,Low,,weak_evidence,0.6602,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://neasdenelectronics.co.uk,,,,,,,,False,44,0,0,0,44,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,neasdenelectronics.co.uk,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://onlinecasina-slovak.us.com,123456.xlsx,0.0,Low,,weak_evidence,0.75,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://onlinecasina-slovak.us.com,,,,,,,,False,40,0,0,0,40,False,title_brand_match|meta_brand_match|body_brand_match|favicon_brand_match,False,False,False,1,0,onlinecasina-slovak.us.com,onlinecasina-slovak.us.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://shailaserelde.com,123456.xlsx,0.0,Low,,weak_evidence,0.6603,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://shailaserelde.com,,,,,,,,False,36,0,0,0,36,False,title_brand_match|meta_brand_match|body_brand_match,False,False,False,1,0,shailaserelde.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://ajijaakwe.com,123456.xlsx,0.0,Low,,weak_evidence,0.6296,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://ajijaakwe.com,,,,,,,,False,28,0,3,0,31,False,title_brand_match|body_brand_match|suspicious_certificate,False,False,False,1,0,ajijaakwe.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Kfintech,kfintech.com,https://kint.eus,123456.xlsx,45.5357,Low,,weak_evidence,0.85,,,,,,jw_primary,,,,,,,,True,True,False,,,fetched_visual_missing,missing,screenshot_timeout,Page.screenshot: Timeout 6000ms exceeded. | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,https://www.kint.eus/es/inicio,,,,,,,,True,0,0,0,0,0,False,lexical_hit,False,False,False,0,0,kint.eus,,0,True,lexical_hit,,,,,,,,False,0,False,,,,,,,,,,,,strict_lexical_below_holdout_threshold
Bank of Baroda,bankofbaroda.bank.in,https://wsadminlog.beauty,123456.xlsx,0.0,Low,,weak_evidence,0.7167,,,,,,fallback_top_k|generic_token_only,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://wsadminlog.beauty,,,,,,,,False,4,28,0,0,32,False,body_brand_match|password_field|login_form|multi_input_form,True,True,False,1,0,wsadminlog.beauty,wsadminlog.beauty,32768,False,stage1_suspected_non_escalated,,,,,,,,True,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://ufukbudak.com,123456.xlsx,0.0,Low,,weak_evidence,0.6481,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.ufukbudak.com/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.ufukbudak.com,www.ufukbudak.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
State Bank of India (SBI),corp.onlinesbi.sbi,https://biomorg.in,123456.xlsx,0.0,Low,,weak_evidence,0.6762,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,head_error,,https://biomorg.in/,,,,,,,,False,12,2,6,0,20,False,body_brand_match|favicon_brand_match|redirect_brand_match|multi_input_form|suspicious_hosting_provider,False,False,False,1,1,biomorg.in,biomorg.in,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Bank of Baroda,bankofbaroda.bank.in,https://bobbodywork.com,123456.xlsx,0.0,Low,,weak_evidence,0.6263,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://bobbodywork.com,,,,,,,,False,36,0,6,0,42,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|suspicious_hosting_provider,False,False,False,1,0,bobbodywork.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://thinkingorbit.org,123456.xlsx,0.0,Low,,weak_evidence,0.6026,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://forsale.ddot.in/thinkingorbit.org?drefid=2071,,,,,,,,False,32,0,0,4,36,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_changed,False,False,False,1,1,forsale.ddot.in,,16473,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://apogeehardwoodrefinishing.com,123456.xlsx,0.0,Low,,weak_evidence,0.5889,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://apogeehardwoodrefinishing.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,apogeehardwoodrefinishing.com,,151,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Axis Bank,axismf.com,https://ymsm.org,123456.xlsx,0.0,Low,,weak_evidence,0.6111,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://ymsm.org,,,,,,,,False,0,32,0,0,32,False,password_field|login_form|auth_wording|multi_input_form,True,True,False,0,0,ymsm.org,,15827,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://numberonewsm.co.uk,123456.xlsx,0.0,Low,,weak_evidence,0.6111,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://numberonewsm.co.uk,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,numberonewsm.co.uk,,787,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://hotgabr.com,123456.xlsx,0.0,Low,,weak_evidence,0.6508,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hotgabr.com/,,,,,,,,False,36,4,6,0,46,False,title_brand_match|meta_brand_match|body_brand_match|auth_wording|suspicious_hosting_provider,False,False,False,1,1,www.hotgabr.com,www.hotgabr.com,25425,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Airtel,airtelpayments.bank.in,https://opencart-themes.org,123456.xlsx,0.0,Low,,weak_evidence,0.6365,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.opencart-themes.org/,,,,,,,,False,0,32,3,0,35,False,password_field|login_form|auth_wording|multi_input_form|multi_redirect_chain,True,True,False,0,2,www.opencart-themes.org,www.opencart-themes.org,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://arenaafricasafaris.com,123456.xlsx,0.0,Low,,weak_evidence,0.7222,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://arenaafricasafaris.com,,,,,,,,False,12,0,6,4,22,False,meta_brand_match|body_brand_match|suspicious_hosting_provider|iframe_present,False,False,False,1,0,arenaafricasafaris.com,arenaafricasafaris.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://precisionderma.info,123456.xlsx,0.0,Low,,weak_evidence,0.7381,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://precisionderma.info,,,,,,,,False,44,0,0,0,44,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match,False,False,False,1,0,precisionderma.info,img.sedoparking.com,25448,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://drbilalhussain.com,123456.xlsx,0.0,Low,,weak_evidence,0.7381,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://drbilalhussain.com,,,,,,,,False,8,0,6,6,20,False,redirect_brand_match|final_domain_brand_match|suspicious_hosting_provider|js_redirect,False,False,False,1,0,drbilalhussain.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Health Authority (NHA),abdm.gov.in,https://trainhard.space,123456.xlsx,0.0,Low,,weak_evidence,0.6574,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://trainhard.space,,,,,,,,False,12,4,6,0,22,False,body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider,False,False,False,1,0,trainhard.space,,10881,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://panichella.com,123456.xlsx,0.0,Low,,weak_evidence,0.7667,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://panichella.com,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,0,panichella.com,,1233,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://gotrecipe.com,123456.xlsx,0.0,Low,,weak_evidence,0.6429,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://gotrecipe.com,,,,,,,,False,36,0,0,4,40,False,title_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|iframe_present,False,False,False,1,0,gotrecipe.com,,859,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Election Commision of India (ECI),eci.gov.in,https://kolabs.design,123456.xlsx,0.0,Low,,weak_evidence,0.7037,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.kolabs.design/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.kolabs.design,www.kolabs.design,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://appleaiai.xyz,123456.xlsx,0.0,Low,,weak_evidence,0.6034,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://parkpage.nicnames.com/?fqdn=appleaiai.xyz,,,,,,,,False,44,4,6,4,58,False,title_brand_match|meta_brand_match|body_brand_match|redirect_brand_match|final_domain_brand_match|auth_wording|suspicious_hosting_provider|final_domain_changed,False,False,False,1,1,parkpage.nicnames.com,3sspw4l2.tinifycdn.com,3384,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Axis Bank,axis.bank.in,https://ritamaxis.com,123456.xlsx,0.0,Low,,weak_evidence,0.6818,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://ritamaxis.com,,,,,,,,False,40,0,6,0,46,False,title_brand_match|body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match|suspicious_hosting_provider,False,False,False,1,0,ritamaxis.com,ritamaxis.com,5513,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Indian Space Research Organisation (ISRO),indiascienceandtechnology.gov.in,https://deltatherapeutics.com,123456.xlsx,0.0,Low,,weak_evidence,0.6377,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.hugedomains.com/domain_profile.cfm?d=deltatherapeutics.com,,,,,,,,False,4,12,0,8,24,False,body_brand_match|login_form|auth_wording|iframe_present|final_domain_changed,False,True,False,1,1,www.hugedomains.com,,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://drbinshaieg.com,123456.xlsx,0.0,Low,,weak_evidence,0.7576,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://drbinshaieg.com,,,,,,,,False,16,0,6,0,22,False,body_brand_match|favicon_brand_match|redirect_brand_match|final_domain_brand_match|suspicious_hosting_provider,False,False,False,1,0,drbinshaieg.com,drbinshaieg.com,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
National Informatics Centre (NIC),accounts.mgovcloud.in,https://isbarakaldo.org,123456.xlsx,0.0,Low,,weak_evidence,0.7453,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,https://www.isbarakaldo.org/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.isbarakaldo.org,cdn.website-editor.net,32768,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
Reserve Bank of India (RBI),rbi.org.in,https://ecnuabc.com,123456.xlsx,0.0,Low,,weak_evidence,0.6508,,,,,,fallback_top_k,,,,,,,,False,False,True,,,fetched,not_attempted,,,http://www.ecnuabc.com/,,,,,,,,False,28,0,0,0,28,False,title_brand_match|body_brand_match,False,False,False,1,1,www.ecnuabc.com,,146,False,stage1_suspected_non_escalated,,,,,,,,False,0,False,,,,,,,,,,,,stage1_suspected_non_escalated
