Cooresponding CSE,Legitimate Domains,Identified Phishing/Suspected Domain Name,source_workbook,hash_score,confidence_band,score_margin,evidence_tier,lexical_score,jw_primary,token_set_primary,skeleton_similarity,lexical_rule_hit,brand_token_hit,candidate_generation_reason,dominant_signal_family,survival_path,drop_path,old_fuzzy_hit,old_fuzzy_cse,hybrid_lexical_hit,strict_lexical_hit,lexical_score_pass,fallback_rank_only,admission_reason,admission_path,fetch_status,visual_status,fetch_error_type,fetch_error_detail,final_landing_url,parking_provider,parking_reason,placeholder_or_parking_reason,best_score,domain_component,hash_component,lexical_hit,final_domain,typo_similarity,typo_min_score_used,typo_decision_reason,favicon_hash_similarity,favicon_hash_distance,page_hash_similarity,page_hash_distance,domain_hash_similarity,domain_hash_distance,ssl_hash_similarity,ssl_hash_distance,typo_anchor,hash_anchor,generic_token_only_match,direct_brand_evidence_count,deceptive_host_embedding,content_spoof_strong,signal_hit_typo,signal_hit_domain,signal_hit_favicon,signal_hit_ssl_hash,signal_hit_html_hash,signal_hit_domain_hash,signal_hit_keywords,screenshot_path,html_title_text,visible_text_excerpt
Canara Bank,canararobeco.com,https://canabra.com,05-04-2026_input.csv,63.4354,Low,63.4354,weak_evidence,0.8881,0.8881,0.6316,0.6616,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Canara Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://canabra.com/,,,,63.4354,26.6429,0.0,True,canabra.com,0.6616,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\canabra.com.png,canabra® cbd products,canabra® cbd products
Bank of Baroda,onlinecasa.bankofbaroda.com,https://canaranya.cat,05-04-2026_input.csv,0.0,Low,0.0,weak_evidence,0.6574,0.6574,0.4762,0.4762,False,False,fallback_top_k,lexical,network_corroboration,,True,Canara Bank,False,True,False,False,network_corroboration,network_corroboration,fetched,available,,,https://canaranya.cat/,,,,0.0,19.7222,0.0,True,canaranya.cat,0.4762,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,False,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\canaranya.cat.png,my webapp,"my webapp it works! congratulation, you have just installed my webapp. edit this site 
      to edit this site, put your files in /var/www/my_webapp/www using ssh/scp.
     as a reward, here is a random cat picture:"
HDFC Bank,netbanking.hdfcbank.com,https://hdcan.com,05-04-2026_input.csv,64.2857,Low,21.4286,weak_evidence,0.9,0.9,0.7692,0.7992,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,HDFC Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://hdcan.com/,,,,64.2857,27.0,0.0,True,hdcan.com,0.7992,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\hdcan.com.png,hdcan.com,hdcan.com
Election Commision of India (ECI),eci.gov.in,https://gtg-eci.com,05-04-2026_input.csv,60.0,Low,60.0,weak_evidence,0.6,0.0,0.6,0.6,True,True,brand_token_match,lexical,score_threshold|weak_direct_evidence|network_corroboration,,False,,True,True,False,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://gtg-eci.com/,,,,60.0,18.0,0.0,True,gtg-eci.com,0.6,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\gtg-eci.com.png,gtg eci | software para talleres de composturas de el corte inglés,"gtg eci | software para talleres de composturas de el corte inglés software para talleresde composturasde el corte inglés 
            el primer programa diseñado específicamente para talleres de composturas que trabajan con eci. controla cada prenda, haz la comparativa y no dejes ni un arreglo sin cobrar.
         ¿sigues tachando los talonesde una lista en un folio? cada taller que trabaja para eci conoce estas situaciones. son el día a día de quien no tiene una herramienta diseñada para este "
Haryana,haryana.census.gov.in,https://haryana.us,05-04-2026_input.csv,45.4545,Low,45.4545,weak_evidence,0.6667,0.0,0.1538,0.6667,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/haryana.us?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&,,,,45.4545,20.0,0.0,True,forsale.godaddy.com,0.6667,0.75,below_min_score,0.0,-1,0.5625,28,0.4688,34,0.5469,29,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\haryana.us.png,access denied,"access denied access denied 
reference #18.85014017.1777093834.53f0e592
 https://errors.edgesuite.net/18.85014017.1777093834.53f0e592"
Kfintech,kfintech.com,https://ohfintech.com,05-04-2026_input.csv,63.1614,Low,63.1614,weak_evidence,0.8843,0.8843,0.8235,0.8535,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/ohfintech.com?utm_source=TDFS_BINNS&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns_base&traffic_type=TDFS_BINNS&traffic_id=binns&,,,,63.1614,26.5278,0.0,True,forsale.godaddy.com,0.8535,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\ohfintech.com.png,access denied,"access denied access denied 
reference #18.dc543f17.1777093834.718957f3
 https://errors.edgesuite.net/18.dc543f17.1777093834.718957f3"
Air India,airindiaexpress.com,https://ajiraexpress.com,05-04-2026_input.csv,47.9464,Low,47.9464,weak_evidence,0.895,0.895,0.8148,0.8448,True,False,jw_primary,lexical,weak_direct_evidence|network_corroboration,,True,Air India,True,True,True,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://www.ajiraexpress.com/,,,,47.9464,26.85,0.0,True,www.ajiraexpress.com,0.8448,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\ajiraexpress.com.png,nafasi za kazi | ajira express,"nafasi za kazi | ajira express ajira express tanzania jobs 
credit analyst job vacancy at nbc bank tanzania – apply now  national bank of commerce (tanzania) nbc





april 11, 2026





 bank -  finance
 
sales area manager jobs at yas tanzania (8 positions) – april 2026 | apply now  yas tanzania

full time


tanzania





april 2, 2026


 
1150 government jobs tanzania 2026 | cpb mdas recruitment – apply now  tanzania government / utumishi

full time


tanzania





april 2, 2026





 governm"
Airtel,airtel.in,https://airtiz.net,05-04-2026_input.csv,61.9048,Low,61.9048,weak_evidence,0.8667,0.8667,0.6667,0.6667,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://airtiz.net/,,,,61.9048,26.0,0.0,True,airtiz.net,0.6667,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\airtiz.net.png,airtiz 小梯子,airtiz 小梯子 轻巧安全的vpn， 专为 mac 打造 focus on macos 实时流量 1.9 mb/s 总计 18.92 gb  0 b/s 总计 2.37 gb  模式切换 直连 所有流量直接连接 规则 按规则分流流量 全局 所有流量走代理 高频操作，托盘一触即达 基于苹果原生 swiftui+ 高性能内核 mihomo 构建，轻量与颜值并重，效率与体验兼顾。 why airtiz 安全、快捷、轻量、颜值一步到位 托盘快捷操作 高频操作一触即达，无需唤醒主界面，专注你的工作流。 实时网速，一目了然 菜单栏直观展示分流模式与上下行网速，可作为网速查看工具使用。 安全隐私 架构加密通信，不追踪任何用户，绝不访问用户网络流量数据。 前沿架构，颜效并存 采用mac原生swift技术栈打造，轻量、颜值与性能并存。 限时免费会员 内测阶段，前 800 名用户免费终生会员 会员享受额外 10% 功能 享受专属反馈渠道，功能建议快速响应 © 2026 lattegou usa llc. all rights reserved.
Kfintech,kfintech.com,https://finteches.com,05-04-2026_input.csv,63.1614,Low,63.1614,weak_evidence,0.8843,0.8843,0.8235,0.8535,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/finteches.com?utm_source=TDFS_BINNS&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns_base&traffic_type=TDFS_BINNS&traffic_id=binns&,,,,63.1614,26.5278,0.0,True,forsale.godaddy.com,0.8535,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\finteches.com.png,access denied,"access denied access denied 
reference #18.85014017.1777093836.53f102cf
 https://errors.edgesuite.net/18.85014017.1777093836.53f102cf"
CATS,cats.census.gov.in,https://cats-dogs62z.store,05-04-2026_input.csv,39.7727,Low,39.7727,weak_evidence,0.5833,0.5833,0.3333,0.4348,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://cats-dogs62z.store/,,,,39.7727,17.5,0.0,True,cats-dogs62z.store,0.4348,0.75,below_min_score,0.0,-1,0.4688,34,0.6562,22,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\cats-dogs62z.store.png,403 forbidden,403 forbidden 403 forbidden
Axis Bank,axismf.com,https://prop-axis.com,05-04-2026_input.csv,56.3333,Low,56.3333,weak_evidence,0.5633,0.0,0.5333,0.5633,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://prop-axis.com/lander,,,,56.3333,16.9,0.0,True,prop-axis.com,0.5633,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\prop-axis.com.png,,
Indian Oil Corporation Limited (IOCL),iocl.com,https://xiaocl.com,05-04-2026_input.csv,88.8889,High,88.8889,weak_evidence,0.8889,0.8889,0.8,0.83,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Indian Oil Corporation Limited (IOCL),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched_visual_missing,missing,screenshot_timeout,Page.screenshot: Timeout 6000ms exceeded. | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,http://www.xiaocl.com/,,,,88.8889,26.6667,0.0,True,www.xiaocl.com,0.83,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,"2026世界杯,足球直播,nba直播,体育直播吧_风速体育-风速体育","2026世界杯,足球直播,nba直播,体育直播吧_风速体育-风速体育 风速体育 体育产业领先者 体育产业领先者 体育产业领先者 风速体育有限公司 　　中国奥委会控股的国有体育产业国有资本运营公司，成立于1993 年，公司设有体育金融、体育科技、体育赛事、体育建设、体育场馆运营、体育旅游、物业及实物性资产管理、体育孵化业务等八大业务板块，下属子公司、分公司、参股企业共计20 余家，2 家上市（挂牌）企业。   　　风速体育专注于体育产业，业务覆盖体育设施建设全产业链，紧紧围绕股东工作要求，聚集试点目标和功能定位，以提高国有资本运营效率为导向，服务总局战略，遵循市场规律，着重打造市场化运营、专业化管理国有资本运营平台。同时不断创新商业模式、拓展新兴业务，并在互联网+ 体育、体育培训、体育教育、体育旅游、高科技体育产品及设备研发等领域取得突破性进展。在国内率先提出“体育场馆建设初期规划设计一定要为后期运营提供空间”的理念，并通过 “体育设施建设—体育场馆运营—体育场馆活动的完整产业链”在行业内具有较强影响力。   　　面向未来，风速体育将秉承“追求卓越、以人为本”的企业核心价值观，贯彻“立足"
Axis Bank,axismf.com,https://axis-fluxrad.com,05-04-2026_input.csv,60.7143,Low,60.7143,weak_evidence,0.85,0.85,0.5556,0.5856,True,True,brand_token_match|jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Axis Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://axis-fluxrad.com/,,,,60.7143,25.5,0.0,True,axis-fluxrad.com,0.5856,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axis-fluxrad.com.png,アクシス フラクスラド｜公式サイト 2026,アクシス フラクスラド｜公式サイト 2026 以上を獲得 1日あたり1090 アクシス フラクスラド - 自動化されたaiトレーディング 今すぐ登録 アクシス フラクスラド は信頼できるのか、それとも詐欺のリスクがあるのか？								 ごもっともなご質問です。投資の根幹は信頼です。アクシス フラクスラドは、日本で正式に登録された企業です（詳細は当社のお問い合わせページでご確認いただけます）。当社のプラットフォームは、適用される金融関連法令およびデータ保護規制を厳格に遵守し、適正に運営しています。詐欺的なスキームや偽のプラットフォームでは、当社が日々提供している高い透明性とテクノロジーを基盤とした運営品質は決して実現できません。 ユーザー体験やレビューはどのようなものですか？ 会員の皆さまのご体験こそが、私たちの最大の資産です。星4.7という平均評価を誇りに思っています。当社ウェブサイトでは、実際のユーザーの声をご覧いただけます。いただいたポジティブなレビューの一つひとつが、さらなる改善への原動力となり、私たちのシステムが約束を確実に果たしていることの証明でもあります。すべてのユー
Maharashtra,maharashtra.census.gov.in,https://maharashtra.us,05-04-2026_input.csv,51.7241,Low,51.7241,weak_evidence,0.7586,0.4192,0.1176,0.7586,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/maharashtra.us?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&,,,,51.7241,22.7586,0.0,True,forsale.godaddy.com,0.7586,0.75,anchor_typo,0.0,-1,0.5312,30,0.5781,27,0.5469,29,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\maharashtra.us.png,access denied,"access denied access denied 
reference #18.85014017.1777093840.53f12d96
 https://errors.edgesuite.net/18.85014017.1777093840.53f12d96"
Airtel,airtel.in,https://airtelblack.ai,05-04-2026_input.csv,64.9351,Low,64.9351,weak_evidence,0.9091,0.9091,0.7059,0.7059,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Airtel,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-training.org/articles/ai-and-automation-impact-on-workforce-training.html?psystem=PW&domain=airtelblack.ai&oref=https%3A%2F%2Fairtelblack.ai%2F&trafficTarget=gd,,,,64.9351,27.2727,0.0,True,www.dot-training.org,0.7059,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\airtelblack.ai.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093840.1963508d
 https://errors.edgesuite.net/18.f6c21160.1777093840.1963508d"
Indian Oil Corporation Limited (IOCL),iocl.com,https://iocl.us,05-04-2026_input.csv,71.4286,Medium,71.4286,weak_evidence,1.0,1.0,1.0,1.0,True,True,brand_token_match|jw_primary|token_set_primary|skeleton_similarity|host_similarity,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Indian Oil Corporation Limited (IOCL),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/iocl.us?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&,,,,71.4286,30.0,0.0,True,forsale.godaddy.com,1.0,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\iocl.us.png,access denied,"access denied access denied 
reference #18.dc543f17.1777093841.7189f08e
 https://errors.edgesuite.net/18.dc543f17.1777093841.7189f08e"
HDFC Bank,hdfclife.com,https://hdfcinfinia.com,05-04-2026_input.csv,62.3377,Low,62.3377,weak_evidence,0.8727,0.8727,0.5333,0.5633,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,HDFC Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://hdfcinfinia.com/,,,,62.3377,26.1818,0.0,True,hdfcinfinia.com,0.5633,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\hdfcinfinia.com.png,premium customer harassment | hdfc infinia: pro harassment edition,"premium customer harassment | hdfc infinia: pro harassment edition 
                            premium 
customer  harassment.
 
                            experience an elite tier of psychological warfare. our relationship managers are rigorously trained in unethical gaslighting, ensuring your net worth is directly proportional to your blood pressure.
                         chance of harassment  by the best of hdfc my premium harassment journey called up rm for an add-on card. rm confirms su"
Computer Age Management Services Ltd. (CAMS),camsonline.com,https://bomasonline.com,05-04-2026_input.csv,86.9024,High,44.0452,weak_evidence,0.869,0.869,0.7619,0.7919,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Computer Age Management Services Ltd. (CAMS),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://bomasonline.com/,,,,86.9024,26.0707,0.0,True,bomasonline.com,0.7919,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\bomasonline.com.png,redirecting...,redirecting...
BSE Ltd.,bseindia.com,https://indiandot.com,05-04-2026_input.csv,0.0,Low,0.0,weak_evidence,0.7269,0.7269,0.5882,0.6182,False,False,fallback_top_k,lexical,network_corroboration,,True,IndusInd Bank,False,True,False,False,network_corroboration,network_corroboration,fetched,available,,,https://forsale.godaddy.com/forsale/indiandot.com?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&,,,,0.0,21.8056,0.0,True,forsale.godaddy.com,0.6182,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,False,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\indiandot.com.png,access denied,"access denied access denied 
reference #18.85014017.1777093843.53f1577d
 https://errors.edgesuite.net/18.85014017.1777093843.53f1577d"
CATS,cats.census.gov.in,https://asian-cats.com,05-04-2026_input.csv,33.3333,Low,33.3333,weak_evidence,0.4889,0.4889,0.25,0.381,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://asian-cats.com/,,,,33.3333,14.6667,0.0,True,asian-cats.com,0.381,0.75,below_min_score,0.0,-1,0.2812,46,0.625,24,0.6875,20,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\asian-cats.com.png,,
State Bank of India (SBI),homeloans.sbi,https://homeloanalysis.com,05-04-2026_input.csv,66.3265,Low,66.3265,weak_evidence,0.9286,0.9286,0.7826,0.7826,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-market.org/articles/commercial-real-estate-market-analysis.html?psystem=PW&domain=homeloanalysis.com&oref=https%3A%2F%2Fhomeloanalysis.com%2F&trafficTarget=reseller,,,,66.3265,27.8571,0.0,True,www.dot-market.org,0.7826,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\homeloanalysis.com.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093844.196376b4
 https://errors.edgesuite.net/18.f6c21160.1777093844.196376b4"
CATS,cats.census.gov.in,https://cats-blog.net,05-04-2026_input.csv,35.3535,Low,35.3535,weak_evidence,0.5185,0.5185,0.2667,0.4,True,True,brand_token_match,lexical,weak_direct_evidence|network_corroboration,,False,,True,True,False,False,weak_direct_evidence|network_corroboration,weak_direct_evidence|network_corroboration,fetched,available,,,https://cats-blog.net/lander,,,,35.3535,15.5556,0.0,True,cats-blog.net,0.4,0.75,below_min_score,0.0,-1,0.4375,36,0.5625,28,0.6094,25,False,False,False,1,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\cats-blog.net.png,,
State Bank of India (SBI),sbimf.com,https://simbf.com,05-04-2026_input.csv,62.8571,Low,62.8571,weak_evidence,0.88,0.88,0.8,0.83,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,State Bank of India (SBI),True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched_visual_missing,missing,screenshot_error,Page.screenshot: Protocol error (Page.captureScreenshot): Unable to capture screenshot | Call log: - taking page screenshot | - disabled all CSS animations | - waiting for fonts to load...,https://simbf.com/,,,,62.8571,26.4,0.0,True,simbf.com,0.83,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,,simbf.com,simbf.com
Canara Bank,canarahsbclife.com,https://canaancliffs.com,05-04-2026_input.csv,86.9524,High,44.0952,weak_evidence,0.8695,0.8695,0.6923,0.7223,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Canara Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://canaancliffs.com/,,,,86.9524,26.0857,0.0,True,canaancliffs.com,0.7223,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\canaancliffs.com.png,redirecting...,redirecting...
Axis Bank,axismf.com,https://axis.express,05-04-2026_input.csv,66.6667,Low,66.6667,weak_evidence,0.9333,0.9333,0.8,0.8,True,True,brand_token_match|jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Axis Bank,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://www.dot-cafe.org/articles/home-espresso-machines-buying-guide.html?psystem=PW&domain=axis.express&oref=https%3A%2F%2Faxis.express%2F&trafficTarget=gd,,,,66.6667,28.0,0.0,True,www.dot-cafe.org,0.8,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\axis.express.png,access denied,"access denied access denied 
reference #18.f6c21160.1777093846.19638cf2
 https://errors.edgesuite.net/18.f6c21160.1777093846.19638cf2"
Kfintech,kfintech.com,https://fallintech.com,05-04-2026_input.csv,61.3095,Low,61.3095,weak_evidence,0.8583,0.8583,0.7778,0.8078,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Kfintech,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://fallintech.com/,,,,61.3095,25.75,0.0,True,fallintech.com,0.8078,0.75,anchor_typo,0.0,-1,0.0,-1,0.0,-1,0.0,-1,True,False,False,0,False,False,True,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\fallintech.com.png,fallintech | elevating your online presence,"fallintech | elevating your online presence fallintech building future-ready digital solutions. we transform complex challenges into seamless technological experiences. ideas & your visions transformed our services we bridge the gap between imagination and execution through advanced engineering, strategic intelligence, and mathematical precision. website & app development engineering high-performance digital ecosystems with atomic precision and future-proof architectures. ai solutions integratin"
Jio,jio.com,https://jiotrf.com,05-04-2026_input.csv,88.3333,High,88.3333,weak_evidence,0.8833,0.8833,0.6667,0.6967,True,False,jw_primary,lexical,score_threshold|weak_direct_evidence|network_corroboration,,True,Jio,True,True,True,False,score_threshold|weak_direct_evidence|network_corroboration,score_threshold|weak_direct_evidence|network_corroboration,fetched,available,,,https://jiotrf.com/,,,,88.3333,26.5,0.0,True,jiotrf.com,0.6967,0.75,below_min_score,0.0,-1,0.0,-1,0.0,-1,0.0,-1,False,False,False,0,False,False,False,True,False,False,False,False,False,c:\Users\sathwik.kusuri\Documents\phishing_ml\phishing_pipeline\screens\jiotrf.com.png,"域名已过期 - dnspod-免费智能dns解析服务商-电信_网通_教育网,智能dns","域名已过期 - dnspod-免费智能dns解析服务商-电信_网通_教育网,智能dns"
